k,nbk,pk,type
1,6671,0.5030540683206395,fictive
2,2314,0.174496644295302,fictive
3,1137,0.08574014026091546,fictive
515,1,7.540909433677702E-5,fictive
4,658,0.049619184073599276,fictive
5,442,0.03333081969685544,fictive
6,284,0.021416182791644672,fictive
7,216,0.016288364376743834,fictive
8,165,0.012442500565568207,fictive
9,128,0.009652364075107459,fictive
10,116,0.008747454943066134,fictive
11,93,0.007013045773320263,fictive
1035,1,7.540909433677702E-5,fictive
12,89,0.006711409395973154,fictive
524,1,7.540909433677702E-5,fictive
13,70,0.005278636603574391,fictive
14,61,0.004599954754543398,fictive
15,47,0.0035442274338285196,fictive
16,52,0.003921272905512405,fictive
17,40,0.003016363773471081,fictive
18,36,0.0027147273961239727,fictive
19,40,0.003016363773471081,fictive
20,31,0.0023376819244400873,fictive
21,25,0.0018852273584194254,fictive
22,22,0.0016590000754090944,fictive
23,24,0.0018098182640826485,fictive
24,23,0.0017344091697458713,fictive
25,16,0.0012065455093884323,fictive
26,20,0.0015081818867355404,fictive
27,14,0.0010557273207148783,fictive
28,13,9.803182263781011E-4,fictive
29,15,0.0011311364150516552,fictive
3614,1,7.540909433677702E-5,fictive
30,13,9.803182263781011E-4,fictive
31,10,7.540909433677702E-4,fictive
543,1,7.540909433677702E-5,fictive
32,15,0.0011311364150516552,fictive
33,14,0.0010557273207148783,fictive
3105,1,7.540909433677702E-5,fictive
34,9,6.786818490309932E-4,fictive
35,7,5.278636603574391E-4,fictive
36,11,8.295000377045472E-4,fictive
37,9,6.786818490309932E-4,fictive
38,9,6.786818490309932E-4,fictive
39,4,3.016363773471081E-4,fictive
40,5,3.770454716838851E-4,fictive
41,7,5.278636603574391E-4,fictive
42,7,5.278636603574391E-4,fictive
43,5,3.770454716838851E-4,fictive
44,4,3.016363773471081E-4,fictive
10796,1,7.540909433677702E-5,fictive
7725,1,7.540909433677702E-5,fictive
45,1,7.540909433677702E-5,fictive
46,2,1.5081818867355404E-4,fictive
47,4,3.016363773471081E-4,fictive
48,2,1.5081818867355404E-4,fictive
4144,1,7.540909433677702E-5,fictive
49,3,2.2622728301033106E-4,fictive
50,1,7.540909433677702E-5,fictive
22067,1,7.540909433677702E-5,fictive
51,7,5.278636603574391E-4,fictive
