property,d-statistics
P110,0.13108242303872888
P65,0.09260874984419794
P509,0.12431284357821089
P149,0.057856673241288625
P2079,0.10238095238095238
P103,0.16035353535353536
P6379,0.12129535002554931
P2094,0.10820979335130279
P140,0.11460446247464504
P102,0.10080542871638762
P170,0.023843119826676296
