k,nbk,pk,type
1,3843,0.6607634112792297,fictive
2,1000,0.171939477303989,fictive
3,381,0.0655089408528198,fictive
4,199,0.03421595598349381,fictive
5,104,0.017881705639614855,fictive
6,80,0.013755158184319119,fictive
7,34,0.005845942228335626,fictive
8,28,0.004814305364511692,fictive
9,28,0.004814305364511692,fictive
10,26,0.004470426409903714,fictive
11,8,0.001375515818431912,fictive
12,16,0.002751031636863824,fictive
13,9,0.001547455295735901,fictive
14,12,0.0020632737276478678,fictive
15,6,0.0010316368638239339,fictive
16,6,0.0010316368638239339,fictive
17,3,5.158184319119669E-4,fictive
19,3,5.158184319119669E-4,fictive
20,2,3.43878954607978E-4,fictive
21,4,6.87757909215956E-4,fictive
22,4,6.87757909215956E-4,fictive
23,3,5.158184319119669E-4,fictive
24,1,1.71939477303989E-4,fictive
25,1,1.71939477303989E-4,fictive
26,1,1.71939477303989E-4,fictive
28,1,1.71939477303989E-4,fictive
29,1,1.71939477303989E-4,fictive
30,1,1.71939477303989E-4,fictive
32,1,1.71939477303989E-4,fictive
33,1,1.71939477303989E-4,fictive
100,1,1.71939477303989E-4,fictive
38,1,1.71939477303989E-4,fictive
39,1,1.71939477303989E-4,fictive
40,1,1.71939477303989E-4,fictive
41,1,1.71939477303989E-4,fictive
46,2,3.43878954607978E-4,fictive
61,1,1.71939477303989E-4,fictive
63,1,1.71939477303989E-4,fictive
1,4517,0.7688510638297872,real
2,658,0.112,real
3,235,0.04,real
4,115,0.01957446808510638,real
5,72,0.01225531914893617,real
6,59,0.010042553191489362,real
7,32,0.005446808510638298,real
8,23,0.003914893617021277,real
9,21,0.003574468085106383,real
10,18,0.0030638297872340424,real
11,11,0.001872340425531915,real
12,6,0.0010212765957446808,real
140,1,1.7021276595744682E-4,real
13,8,0.0013617021276595745,real
14,8,0.0013617021276595745,real
15,8,0.0013617021276595745,real
16,8,0.0013617021276595745,real
17,4,6.808510638297873E-4,real
18,5,8.51063829787234E-4,real
19,9,0.0015319148936170212,real
20,5,8.51063829787234E-4,real
21,1,1.7021276595744682E-4,real
22,3,5.106382978723404E-4,real
23,2,3.4042553191489364E-4,real
24,2,3.4042553191489364E-4,real
25,1,1.7021276595744682E-4,real
26,2,3.4042553191489364E-4,real
27,2,3.4042553191489364E-4,real
28,1,1.7021276595744682E-4,real
156,1,1.7021276595744682E-4,real
29,1,1.7021276595744682E-4,real
30,5,8.51063829787234E-4,real
31,4,6.808510638297873E-4,real
32,3,5.106382978723404E-4,real
33,2,3.4042553191489364E-4,real
34,1,1.7021276595744682E-4,real
37,2,3.4042553191489364E-4,real
40,1,1.7021276595744682E-4,real
41,1,1.7021276595744682E-4,real
43,2,3.4042553191489364E-4,real
44,2,3.4042553191489364E-4,real
46,1,1.7021276595744682E-4,real
54,1,1.7021276595744682E-4,real
56,2,3.4042553191489364E-4,real
62,1,1.7021276595744682E-4,real
63,1,1.7021276595744682E-4,real
72,1,1.7021276595744682E-4,real
73,1,1.7021276595744682E-4,real
78,1,1.7021276595744682E-4,real
87,1,1.7021276595744682E-4,real
90,1,1.7021276595744682E-4,real
93,1,1.7021276595744682E-4,real
124,1,1.7021276595744682E-4,real
