k,nbk,pk,type
1,886,0.48415300546448087,fictive
2,329,0.17978142076502732,fictive
3,126,0.06885245901639345,fictive
4,98,0.053551912568306013,fictive
5,67,0.0366120218579235,fictive
6,46,0.025136612021857924,fictive
7,37,0.020218579234972677,fictive
8,13,0.007103825136612022,fictive
136,1,5.46448087431694E-4,fictive
9,20,0.01092896174863388,fictive
10,17,0.009289617486338797,fictive
11,9,0.004918032786885246,fictive
12,15,0.00819672131147541,fictive
13,9,0.004918032786885246,fictive
14,6,0.003278688524590164,fictive
15,10,0.00546448087431694,fictive
16,14,0.007650273224043716,fictive
17,5,0.00273224043715847,fictive
18,8,0.004371584699453552,fictive
19,3,0.001639344262295082,fictive
20,4,0.002185792349726776,fictive
21,7,0.003825136612021858,fictive
22,7,0.003825136612021858,fictive
23,5,0.00273224043715847,fictive
24,1,5.46448087431694E-4,fictive
26,4,0.002185792349726776,fictive
27,3,0.001639344262295082,fictive
28,2,0.001092896174863388,fictive
30,2,0.001092896174863388,fictive
31,2,0.001092896174863388,fictive
32,3,0.001639344262295082,fictive
33,1,5.46448087431694E-4,fictive
34,2,0.001092896174863388,fictive
36,1,5.46448087431694E-4,fictive
37,2,0.001092896174863388,fictive
38,2,0.001092896174863388,fictive
551,1,5.46448087431694E-4,fictive
40,1,5.46448087431694E-4,fictive
41,2,0.001092896174863388,fictive
42,3,0.001639344262295082,fictive
43,3,0.001639344262295082,fictive
174,1,5.46448087431694E-4,fictive
48,1,5.46448087431694E-4,fictive
49,1,5.46448087431694E-4,fictive
7090,1,5.46448087431694E-4,fictive
1716,1,5.46448087431694E-4,fictive
53,1,5.46448087431694E-4,fictive
54,1,5.46448087431694E-4,fictive
55,3,0.001639344262295082,fictive
32057,1,5.46448087431694E-4,fictive
954,1,5.46448087431694E-4,fictive
186,1,5.46448087431694E-4,fictive
3258,1,5.46448087431694E-4,fictive
58,1,5.46448087431694E-4,fictive
60,1,5.46448087431694E-4,fictive
61,1,5.46448087431694E-4,fictive
62,3,0.001639344262295082,fictive
20928,1,5.46448087431694E-4,fictive
65,1,5.46448087431694E-4,fictive
68,1,5.46448087431694E-4,fictive
72,1,5.46448087431694E-4,fictive
76,1,5.46448087431694E-4,fictive
6861,1,5.46448087431694E-4,fictive
78,1,5.46448087431694E-4,fictive
79,1,5.46448087431694E-4,fictive
83,1,5.46448087431694E-4,fictive
87,2,0.001092896174863388,fictive
92,1,5.46448087431694E-4,fictive
605,1,5.46448087431694E-4,fictive
2531,1,5.46448087431694E-4,fictive
7651,1,5.46448087431694E-4,fictive
229,1,5.46448087431694E-4,fictive
487,1,5.46448087431694E-4,fictive
110,1,5.46448087431694E-4,fictive
112,1,5.46448087431694E-4,fictive
4337,1,5.46448087431694E-4,fictive
1138,1,5.46448087431694E-4,fictive
117,1,5.46448087431694E-4,fictive
9974,1,5.46448087431694E-4,fictive
247,1,5.46448087431694E-4,fictive
119,1,5.46448087431694E-4,fictive
249,1,5.46448087431694E-4,fictive
122,2,0.001092896174863388,fictive
9083,1,5.46448087431694E-4,fictive
125,1,5.46448087431694E-4,fictive
2174,1,5.46448087431694E-4,fictive
254,1,5.46448087431694E-4,fictive
7039,1,5.46448087431694E-4,fictive
1,770,0.660377358490566,real
2,115,0.09862778730703259,real
3,62,0.05317324185248713,real
4,28,0.024013722126929673,real
5,20,0.017152658662092625,real
261,1,8.576329331046312E-4,real
6,18,0.015437392795883362,real
7,5,0.004288164665523156,real
8,7,0.006003430531732418,real
9,12,0.010291595197255575,real
10,6,0.005145797598627788,real
11,4,0.003430531732418525,real
12,2,0.0017152658662092624,real
13,1,8.576329331046312E-4,real
14,1,8.576329331046312E-4,real
15,2,0.0017152658662092624,real
16,5,0.004288164665523156,real
17,4,0.003430531732418525,real
18,3,0.002572898799313894,real
19,3,0.002572898799313894,real
20,1,8.576329331046312E-4,real
21,4,0.003430531732418525,real
22,3,0.002572898799313894,real
1302,1,8.576329331046312E-4,real
537,1,8.576329331046312E-4,real
