property, alpha_real, alpha_fictive
illustrator,1.7769994321091902,1.7208149890386089
site of astronomical discovery,1.545265556864897,1.361061077350575
cause of death,1.6809730702259895,1.4257682612385378
architectural style,1.7838262161996048,1.349820621163739
fabrication method,1.4184256370754509,1.3925395441358361
native language,1.8386575327010084,1.3861163417056543
has works in the collection,2.1802816176557376,1.4887394844240451
competition class,1.4462590131764164,1.3913049625477467
religion,1.5102618833156969,1.3823865752954323
member of political party,1.9855308357853287,1.5755027026236772
creator,2.12882617391326,1.9108212917227978
