k,nbk,pk,type
1,1636,0.49741562785041044,fictive
2,565,0.17178473700212832,fictive
258,1,3.040437823046519E-4,fictive
3,276,0.08391608391608392,fictive
4,166,0.05047126786257221,fictive
5,110,0.033444816053511704,fictive
6,68,0.020674977196716328,fictive
7,48,0.01459410155062329,fictive
8,34,0.010337488598358164,fictive
9,35,0.010641532380662816,fictive
10,34,0.010337488598358164,fictive
11,25,0.007601094557616297,fictive
12,23,0.006993006993006993,fictive
13,22,0.006688963210702341,fictive
14,12,0.0036485253876558225,fictive
4110,1,3.040437823046519E-4,fictive
15,17,0.005168744299179082,fictive
16,14,0.004256612952265126,fictive
30224,1,3.040437823046519E-4,fictive
17,12,0.0036485253876558225,fictive
13073,1,3.040437823046519E-4,fictive
18,6,0.0018242626938279112,fictive
19,7,0.002128306476132563,fictive
20,9,0.002736394040741867,fictive
21,6,0.0018242626938279112,fictive
22,5,0.0015202189115232593,fictive
278,1,3.040437823046519E-4,fictive
23,8,0.002432350258437215,fictive
24,7,0.002128306476132563,fictive
25,5,0.0015202189115232593,fictive
26,6,0.0018242626938279112,fictive
27,4,0.0012161751292186075,fictive
28,5,0.0015202189115232593,fictive
29,3,9.121313469139556E-4,fictive
30,3,9.121313469139556E-4,fictive
6942,1,3.040437823046519E-4,fictive
31,2,6.080875646093037E-4,fictive
32,4,0.0012161751292186075,fictive
34,3,9.121313469139556E-4,fictive
35,3,9.121313469139556E-4,fictive
36,4,0.0012161751292186075,fictive
37,3,9.121313469139556E-4,fictive
39,3,9.121313469139556E-4,fictive
40,3,9.121313469139556E-4,fictive
41,1,3.040437823046519E-4,fictive
42,1,3.040437823046519E-4,fictive
43,1,3.040437823046519E-4,fictive
45,1,3.040437823046519E-4,fictive
557,1,3.040437823046519E-4,fictive
46,1,3.040437823046519E-4,fictive
47,1,3.040437823046519E-4,fictive
26415,1,3.040437823046519E-4,fictive
48,2,6.080875646093037E-4,fictive
304,1,3.040437823046519E-4,fictive
49,1,3.040437823046519E-4,fictive
51,4,0.0012161751292186075,fictive
52,2,6.080875646093037E-4,fictive
54,5,0.0015202189115232593,fictive
56,1,3.040437823046519E-4,fictive
57,1,3.040437823046519E-4,fictive
826,1,3.040437823046519E-4,fictive
59,3,9.121313469139556E-4,fictive
60,1,3.040437823046519E-4,fictive
61,1,3.040437823046519E-4,fictive
62,1,3.040437823046519E-4,fictive
65,1,3.040437823046519E-4,fictive
321,1,3.040437823046519E-4,fictive
66,2,6.080875646093037E-4,fictive
67,1,3.040437823046519E-4,fictive
68,2,6.080875646093037E-4,fictive
71,1,3.040437823046519E-4,fictive
72,1,3.040437823046519E-4,fictive
74,2,6.080875646093037E-4,fictive
331,1,3.040437823046519E-4,fictive
77,2,6.080875646093037E-4,fictive
4686,1,3.040437823046519E-4,fictive
30034,1,3.040437823046519E-4,fictive
83,1,3.040437823046519E-4,fictive
597,1,3.040437823046519E-4,fictive
37719,1,3.040437823046519E-4,fictive
599,1,3.040437823046519E-4,fictive
88,1,3.040437823046519E-4,fictive
89,2,6.080875646093037E-4,fictive
18266,1,3.040437823046519E-4,fictive
93,2,6.080875646093037E-4,fictive
95,1,3.040437823046519E-4,fictive
96,1,3.040437823046519E-4,fictive
101,1,3.040437823046519E-4,fictive
628,1,3.040437823046519E-4,fictive
2166,1,3.040437823046519E-4,fictive
130,1,3.040437823046519E-4,fictive
133,3,9.121313469139556E-4,fictive
139,1,3.040437823046519E-4,fictive
400,1,3.040437823046519E-4,fictive
1168,1,3.040437823046519E-4,fictive
147,1,3.040437823046519E-4,fictive
403,1,3.040437823046519E-4,fictive
4757,1,3.040437823046519E-4,fictive
154,1,3.040437823046519E-4,fictive
160,1,3.040437823046519E-4,fictive
1196,1,3.040437823046519E-4,fictive
179,1,3.040437823046519E-4,fictive
964,1,3.040437823046519E-4,fictive
197,1,3.040437823046519E-4,fictive
198,1,3.040437823046519E-4,fictive
25287,1,3.040437823046519E-4,fictive
209,1,3.040437823046519E-4,fictive
13273,1,3.040437823046519E-4,fictive
218,1,3.040437823046519E-4,fictive
11506,1,3.040437823046519E-4,fictive
20980,1,3.040437823046519E-4,fictive
505,1,3.040437823046519E-4,fictive
