property,d-statistics
P110,0.10721247563352826
P65,0.05919636450609902
P509,0.13213483146067415
P149,0.08382621394669587
P2079,0.05898989898989899
P103,0.0745317250171619
P6379,0.1385844839181865
P2094,0.08747855917667238
P140,0.07926725603536212
P102,0.04368120668569099
P170,0.020855169448251765
P161,0.3107844514145717
P1547,0.05238095238095238
P181,0.4
P3602,0.0743099056928478
P451,0.3368421052631579
