k,nbk,pk,type
256,1,1.3540961408259986E-4,fictive
512,1,1.3540961408259986E-4,fictive
1,3752,0.5080568720379147,fictive
2,1258,0.17034529451591063,fictive
258,1,1.3540961408259986E-4,fictive
3,624,0.08449559918754232,fictive
4,321,0.043466486120514555,fictive
5,245,0.03317535545023697,fictive
6,173,0.023425863236289778,fictive
5638,1,1.3540961408259986E-4,fictive
7,127,0.017197020988490182,fictive
8,123,0.016655382532159785,fictive
264,1,1.3540961408259986E-4,fictive
12040,1,1.3540961408259986E-4,fictive
9,86,0.011645226811103589,fictive
778,1,1.3540961408259986E-4,fictive
10,49,0.006635071090047393,fictive
11,48,0.006499661475964793,fictive
12,40,0.005416384563303994,fictive
13,32,0.004333107650643196,fictive
526,1,1.3540961408259986E-4,fictive
14,28,0.0037914691943127963,fictive
15,39,0.005280974949221395,fictive
3343,1,1.3540961408259986E-4,fictive
16,23,0.0031144211238997967,fictive
17,22,0.002979011509817197,fictive
18,19,0.0025727826675693974,fictive
19,19,0.0025727826675693974,fictive
13075,1,1.3540961408259986E-4,fictive
20,14,0.0018957345971563982,fictive
21,10,0.0013540961408259986,fictive
22,12,0.0016249153689911983,fictive
23,17,0.0023019634394041977,fictive
535,1,1.3540961408259986E-4,fictive
24,9,0.0012186865267433988,fictive
25,15,0.002031144211238998,fictive
26,8,0.001083276912660799,fictive
27,18,0.0024373730534867975,fictive
28,11,0.0014895057549085984,fictive
29,6,8.124576844955991E-4,fictive
30,8,0.001083276912660799,fictive
31,9,0.0012186865267433988,fictive
32,6,8.124576844955991E-4,fictive
33,7,9.478672985781991E-4,fictive
34,7,9.478672985781991E-4,fictive
35,7,9.478672985781991E-4,fictive
548,1,1.3540961408259986E-4,fictive
36,1,1.3540961408259986E-4,fictive
37,5,6.770480704129993E-4,fictive
293,1,1.3540961408259986E-4,fictive
38,6,8.124576844955991E-4,fictive
294,1,1.3540961408259986E-4,fictive
39,4,5.416384563303995E-4,fictive
40,4,5.416384563303995E-4,fictive
296,1,1.3540961408259986E-4,fictive
41,3,4.0622884224779957E-4,fictive
42,4,5.416384563303995E-4,fictive
43,4,5.416384563303995E-4,fictive
44,1,1.3540961408259986E-4,fictive
45,4,5.416384563303995E-4,fictive
1837,1,1.3540961408259986E-4,fictive
303,1,1.3540961408259986E-4,fictive
47,2,2.7081922816519973E-4,fictive
48,1,1.3540961408259986E-4,fictive
49,4,5.416384563303995E-4,fictive
1073,1,1.3540961408259986E-4,fictive
50,5,6.770480704129993E-4,fictive
51,2,2.7081922816519973E-4,fictive
52,2,2.7081922816519973E-4,fictive
309,1,1.3540961408259986E-4,fictive
53,3,4.0622884224779957E-4,fictive
54,4,5.416384563303995E-4,fictive
55,3,4.0622884224779957E-4,fictive
56,3,4.0622884224779957E-4,fictive
58,1,1.3540961408259986E-4,fictive
826,1,1.3540961408259986E-4,fictive
7227,1,1.3540961408259986E-4,fictive
315,1,1.3540961408259986E-4,fictive
59,2,2.7081922816519973E-4,fictive
60,4,5.416384563303995E-4,fictive
3388,1,1.3540961408259986E-4,fictive
316,1,1.3540961408259986E-4,fictive
62,4,5.416384563303995E-4,fictive
63,2,2.7081922816519973E-4,fictive
64,1,1.3540961408259986E-4,fictive
65,3,4.0622884224779957E-4,fictive
67,4,5.416384563303995E-4,fictive
579,1,1.3540961408259986E-4,fictive
68,2,2.7081922816519973E-4,fictive
69,1,1.3540961408259986E-4,fictive
10053,1,1.3540961408259986E-4,fictive
71,2,2.7081922816519973E-4,fictive
2631,1,1.3540961408259986E-4,fictive
72,1,1.3540961408259986E-4,fictive
73,1,1.3540961408259986E-4,fictive
75,1,1.3540961408259986E-4,fictive
81,1,1.3540961408259986E-4,fictive
82,3,4.0622884224779957E-4,fictive
84,1,1.3540961408259986E-4,fictive
87,2,2.7081922816519973E-4,fictive
345,1,1.3540961408259986E-4,fictive
89,2,2.7081922816519973E-4,fictive
90,2,2.7081922816519973E-4,fictive
91,1,1.3540961408259986E-4,fictive
5470,1,1.3540961408259986E-4,fictive
95,1,1.3540961408259986E-4,fictive
96,2,2.7081922816519973E-4,fictive
97,1,1.3540961408259986E-4,fictive
99,2,2.7081922816519973E-4,fictive
612,1,1.3540961408259986E-4,fictive
100,3,4.0622884224779957E-4,fictive
101,1,1.3540961408259986E-4,fictive
9574,1,1.3540961408259986E-4,fictive
103,1,1.3540961408259986E-4,fictive
106,1,1.3540961408259986E-4,fictive
110,2,2.7081922816519973E-4,fictive
113,1,1.3540961408259986E-4,fictive
120,1,1.3540961408259986E-4,fictive
123,1,1.3540961408259986E-4,fictive
125,1,1.3540961408259986E-4,fictive
894,1,1.3540961408259986E-4,fictive
128,1,1.3540961408259986E-4,fictive
1669,1,1.3540961408259986E-4,fictive
134,1,1.3540961408259986E-4,fictive
136,1,1.3540961408259986E-4,fictive
138,1,1.3540961408259986E-4,fictive
650,1,1.3540961408259986E-4,fictive
1168,1,1.3540961408259986E-4,fictive
144,1,1.3540961408259986E-4,fictive
145,1,1.3540961408259986E-4,fictive
402,1,1.3540961408259986E-4,fictive
1939,1,1.3540961408259986E-4,fictive
149,2,2.7081922816519973E-4,fictive
662,1,1.3540961408259986E-4,fictive
154,1,1.3540961408259986E-4,fictive
2469,1,1.3540961408259986E-4,fictive
1450,1,1.3540961408259986E-4,fictive
171,1,1.3540961408259986E-4,fictive
173,1,1.3540961408259986E-4,fictive
429,1,1.3540961408259986E-4,fictive
433,1,1.3540961408259986E-4,fictive
177,1,1.3540961408259986E-4,fictive
183,1,1.3540961408259986E-4,fictive
187,1,1.3540961408259986E-4,fictive
195,1,1.3540961408259986E-4,fictive
200,1,1.3540961408259986E-4,fictive
205,1,1.3540961408259986E-4,fictive
209,1,1.3540961408259986E-4,fictive
213,1,1.3540961408259986E-4,fictive
9950,1,1.3540961408259986E-4,fictive
222,1,1.3540961408259986E-4,fictive
228,1,1.3540961408259986E-4,fictive
2795,1,1.3540961408259986E-4,fictive
244,1,1.3540961408259986E-4,fictive
248,1,1.3540961408259986E-4,fictive
19193,1,1.3540961408259986E-4,fictive
3583,1,1.3540961408259986E-4,fictive
1,2565,0.484236360203889,real
2,731,0.1380026430054748,real
3,339,0.06399848971115726,real
4,209,0.03945629601661318,real
5,154,0.029073060222767604,real
6,107,0.020200113271663205,real
7,85,0.016046818954124978,real
8,80,0.015102888427411743,real
9,50,0.009439305267132339,real
10,55,0.010383235793845574,real
11,47,0.008872946951104398,real
12,39,0.007362658108363225,real
13,42,0.007929016424391165,real
14,33,0.0062299414763073435,real
15,25,0.0047196526335661695,real
2063,1,1.8878610534264677E-4,real
16,26,0.004908438738908816,real
5648,1,1.8878610534264677E-4,real
17,26,0.004908438738908816,real
18,26,0.004908438738908816,real
19,25,0.0047196526335661695,real
531,1,1.8878610534264677E-4,real
20,18,0.003398149896167642,real
21,20,0.003775722106852936,real
1045,1,1.8878610534264677E-4,real
22,19,0.0035869360015102886,real
23,15,0.0028317915801397016,real
