k,nbk,pk,type
6656,1,7.609191903819814E-5,fictive
1,6685,0.5086744787703545,fictive
2,2149,0.1635215340130878,fictive
3,1056,0.08035306650433724,fictive
4,640,0.04869882818444681,fictive
5,451,0.03431745548622736,fictive
6,311,0.023664586820879623,fictive
7,225,0.017120681783594584,fictive
8,195,0.014837924212448637,fictive
9,133,0.010120225232080353,fictive
10,137,0.010424592908233145,fictive
11,93,0.007076548470552427,fictive
5643,1,7.609191903819814E-5,fictive
12,73,0.005554710089788465,fictive
13,76,0.005782985846903059,fictive
14,61,0.004641607061330087,fictive
15,68,0.005174250494597474,fictive
16,44,0.003348044437680718,fictive
17,38,0.0028914929234515295,fictive
18,32,0.0024349414092223404,fictive
19,38,0.0028914929234515295,fictive
20,29,0.0022066656521077463,fictive
21,28,0.002130573733069548,fictive
22,31,0.0023588494901841425,fictive
23,17,0.0012935626236493685,fictive
24,21,0.001597930299802161,fictive
25,19,0.0014457464617257648,fictive
26,18,0.0013696545426875666,fictive
1050,1,7.609191903819814E-5,fictive
27,15,0.001141378785572972,fictive
28,23,0.0017501141378785572,fictive
29,14,0.001065286866534774,fictive
11805,1,7.609191903819814E-5,fictive
30,10,7.609191903819814E-4,fictive
31,7,5.32643433267387E-4,fictive
32,14,0.001065286866534774,fictive
33,7,5.32643433267387E-4,fictive
1569,1,7.609191903819814E-5,fictive
34,14,0.001065286866534774,fictive
35,10,7.609191903819814E-4,fictive
36,6,4.565515142291889E-4,fictive
22052,1,7.609191903819814E-5,fictive
37,9,6.848272713437833E-4,fictive
38,12,9.131030284583778E-4,fictive
39,9,6.848272713437833E-4,fictive
40,5,3.804595951909907E-4,fictive
41,10,7.609191903819814E-4,fictive
42,7,5.32643433267387E-4,fictive
43,4,3.0436767615279255E-4,fictive
44,6,4.565515142291889E-4,fictive
45,8,6.087353523055851E-4,fictive
46,6,4.565515142291889E-4,fictive
47,6,4.565515142291889E-4,fictive
48,3,2.2827575711459444E-4,fictive
49,8,6.087353523055851E-4,fictive
50,4,3.0436767615279255E-4,fictive
51,8,6.087353523055851E-4,fictive
52,5,3.804595951909907E-4,fictive
53,2,1.5218383807639628E-4,fictive
54,4,3.0436767615279255E-4,fictive
55,4,3.0436767615279255E-4,fictive
56,1,7.609191903819814E-5,fictive
57,4,3.0436767615279255E-4,fictive
58,1,7.609191903819814E-5,fictive
60,5,3.804595951909907E-4,fictive
61,1,7.609191903819814E-5,fictive
62,4,3.0436767615279255E-4,fictive
63,3,2.2827575711459444E-4,fictive
64,7,5.32643433267387E-4,fictive
65,6,4.565515142291889E-4,fictive
66,2,1.5218383807639628E-4,fictive
578,1,7.609191903819814E-5,fictive
1603,1,7.609191903819814E-5,fictive
67,1,7.609191903819814E-5,fictive
68,2,1.5218383807639628E-4,fictive
69,1,7.609191903819814E-5,fictive
70,2,1.5218383807639628E-4,fictive
71,2,1.5218383807639628E-4,fictive
72,1,7.609191903819814E-5,fictive
74,1,7.609191903819814E-5,fictive
75,3,2.2827575711459444E-4,fictive
76,5,3.804595951909907E-4,fictive
77,4,3.0436767615279255E-4,fictive
79,4,3.0436767615279255E-4,fictive
80,2,1.5218383807639628E-4,fictive
81,2,1.5218383807639628E-4,fictive
82,3,2.2827575711459444E-4,fictive
83,1,7.609191903819814E-5,fictive
84,4,3.0436767615279255E-4,fictive
85,2,1.5218383807639628E-4,fictive
86,1,7.609191903819814E-5,fictive
1110,1,7.609191903819814E-5,fictive
87,2,1.5218383807639628E-4,fictive
88,3,2.2827575711459444E-4,fictive
89,3,2.2827575711459444E-4,fictive
91,3,2.2827575711459444E-4,fictive
92,3,2.2827575711459444E-4,fictive
93,2,1.5218383807639628E-4,fictive
94,4,3.0436767615279255E-4,fictive
95,1,7.609191903819814E-5,fictive
96,1,7.609191903819814E-5,fictive
97,2,1.5218383807639628E-4,fictive
98,1,7.609191903819814E-5,fictive
99,2,1.5218383807639628E-4,fictive
102,3,2.2827575711459444E-4,fictive
105,1,7.609191903819814E-5,fictive
106,3,2.2827575711459444E-4,fictive
107,2,1.5218383807639628E-4,fictive
108,1,7.609191903819814E-5,fictive
111,1,7.609191903819814E-5,fictive
113,1,7.609191903819814E-5,fictive
114,1,7.609191903819814E-5,fictive
115,1,7.609191903819814E-5,fictive
116,1,7.609191903819814E-5,fictive
117,2,1.5218383807639628E-4,fictive
118,1,7.609191903819814E-5,fictive
119,2,1.5218383807639628E-4,fictive
120,1,7.609191903819814E-5,fictive
123,1,7.609191903819814E-5,fictive
124,1,7.609191903819814E-5,fictive
125,2,1.5218383807639628E-4,fictive
126,1,7.609191903819814E-5,fictive
638,1,7.609191903819814E-5,fictive
131,1,7.609191903819814E-5,fictive
23172,1,7.609191903819814E-5,fictive
134,1,7.609191903819814E-5,fictive
139,1,7.609191903819814E-5,fictive
140,1,7.609191903819814E-5,fictive
141,1,7.609191903819814E-5,fictive
142,1,7.609191903819814E-5,fictive
143,1,7.609191903819814E-5,fictive
148,1,7.609191903819814E-5,fictive
150,3,2.2827575711459444E-4,fictive
153,1,7.609191903819814E-5,fictive
4250,1,7.609191903819814E-5,fictive
155,1,7.609191903819814E-5,fictive
156,1,7.609191903819814E-5,fictive
158,1,7.609191903819814E-5,fictive
160,1,7.609191903819814E-5,fictive
12450,1,7.609191903819814E-5,fictive
167,1,7.609191903819814E-5,fictive
170,2,1.5218383807639628E-4,fictive
171,1,7.609191903819814E-5,fictive
172,2,1.5218383807639628E-4,fictive
174,1,7.609191903819814E-5,fictive
175,1,7.609191903819814E-5,fictive
179,1,7.609191903819814E-5,fictive
1716,1,7.609191903819814E-5,fictive
187,1,7.609191903819814E-5,fictive
194,2,1.5218383807639628E-4,fictive
196,1,7.609191903819814E-5,fictive
202,1,7.609191903819814E-5,fictive
205,1,7.609191903819814E-5,fictive
210,1,7.609191903819814E-5,fictive
211,1,7.609191903819814E-5,fictive
17622,1,7.609191903819814E-5,fictive
215,1,7.609191903819814E-5,fictive
218,1,7.609191903819814E-5,fictive
222,1,7.609191903819814E-5,fictive
223,1,7.609191903819814E-5,fictive
232,1,7.609191903819814E-5,fictive
235,1,7.609191903819814E-5,fictive
10477,1,7.609191903819814E-5,fictive
752,1,7.609191903819814E-5,fictive
244,1,7.609191903819814E-5,fictive
249,2,1.5218383807639628E-4,fictive
253,1,7.609191903819814E-5,fictive
257,1,7.609191903819814E-5,fictive
