k,nbk,pk,type
1,588,0.48959200666111574,fictive
129,1,8.326394671107411E-4,fictive
2,213,0.17735220649458786,fictive
3,103,0.08576186511240633,fictive
4,58,0.04829308909242298,fictive
772,1,8.326394671107411E-4,fictive
5,43,0.035803497085761866,fictive
6,26,0.02164862614487927,fictive
7,22,0.018318068276436304,fictive
8,12,0.009991673605328892,fictive
9,10,0.00832639467110741,fictive
10,10,0.00832639467110741,fictive
11,9,0.00749375520399667,fictive
1675,1,8.326394671107411E-4,fictive
12,5,0.004163197335553705,fictive
13,4,0.0033305578684429643,fictive
909,1,8.326394671107411E-4,fictive
14,4,0.0033305578684429643,fictive
15,4,0.0033305578684429643,fictive
16,3,0.002497918401332223,fictive
17,2,0.0016652789342214821,fictive
1169,1,8.326394671107411E-4,fictive
18,3,0.002497918401332223,fictive
19,5,0.004163197335553705,fictive
20,3,0.002497918401332223,fictive
21,3,0.002497918401332223,fictive
1045,1,8.326394671107411E-4,fictive
22,2,0.0016652789342214821,fictive
23,1,8.326394671107411E-4,fictive
24,4,0.0033305578684429643,fictive
280,1,8.326394671107411E-4,fictive
3993,1,8.326394671107411E-4,fictive
25,1,8.326394671107411E-4,fictive
26,1,8.326394671107411E-4,fictive
29,2,0.0016652789342214821,fictive
31,2,0.0016652789342214821,fictive
3231,1,8.326394671107411E-4,fictive
32,1,8.326394671107411E-4,fictive
163,1,8.326394671107411E-4,fictive
37,1,8.326394671107411E-4,fictive
38,1,8.326394671107411E-4,fictive
8231,1,8.326394671107411E-4,fictive
41,2,0.0016652789342214821,fictive
43,1,8.326394671107411E-4,fictive
555,1,8.326394671107411E-4,fictive
44,3,0.002497918401332223,fictive
5166,1,8.326394671107411E-4,fictive
49,1,8.326394671107411E-4,fictive
52,1,8.326394671107411E-4,fictive
55,1,8.326394671107411E-4,fictive
58,1,8.326394671107411E-4,fictive
1085,1,8.326394671107411E-4,fictive
63,1,8.326394671107411E-4,fictive
831,1,8.326394671107411E-4,fictive
65,2,0.0016652789342214821,fictive
66,1,8.326394671107411E-4,fictive
1474,1,8.326394671107411E-4,fictive
67,1,8.326394671107411E-4,fictive
1477,1,8.326394671107411E-4,fictive
69,1,8.326394671107411E-4,fictive
5702,1,8.326394671107411E-4,fictive
70,1,8.326394671107411E-4,fictive
71,1,8.326394671107411E-4,fictive
73,1,8.326394671107411E-4,fictive
74,2,0.0016652789342214821,fictive
79,1,8.326394671107411E-4,fictive
83,1,8.326394671107411E-4,fictive
89,1,8.326394671107411E-4,fictive
473,1,8.326394671107411E-4,fictive
90,1,8.326394671107411E-4,fictive
219,1,8.326394671107411E-4,fictive
1633,1,8.326394671107411E-4,fictive
1251,1,8.326394671107411E-4,fictive
4585,1,8.326394671107411E-4,fictive
109,1,8.326394671107411E-4,fictive
2798,1,8.326394671107411E-4,fictive
