k,nbk,pk,type
1,3804,0.6537205705447672,fictive
65,1,1.7185083347654237E-4,fictive
2,1013,0.1740848943117374,fictive
3,382,0.06564701838803919,fictive
4,211,0.03626052586355044,fictive
5,115,0.019762845849802372,fictive
6,59,0.010139199175116,fictive
7,62,0.010654751675545627,fictive
8,27,0.004639972503866644,fictive
9,27,0.004639972503866644,fictive
10,18,0.0030933150025777623,fictive
74,1,1.7185083347654237E-4,fictive
11,19,0.0032651658360543048,fictive
12,15,0.0025777625021481355,fictive
13,10,0.0017185083347654236,fictive
14,6,0.0010311050008592541,fictive
15,8,0.001374806667812339,fictive
16,8,0.001374806667812339,fictive
17,2,3.4370166695308474E-4,fictive
18,3,5.155525004296271E-4,fictive
19,1,1.7185083347654237E-4,fictive
20,1,1.7185083347654237E-4,fictive
21,6,0.0010311050008592541,fictive
22,1,1.7185083347654237E-4,fictive
23,4,6.874033339061695E-4,fictive
24,2,3.4370166695308474E-4,fictive
26,3,5.155525004296271E-4,fictive
28,1,1.7185083347654237E-4,fictive
30,1,1.7185083347654237E-4,fictive
31,2,3.4370166695308474E-4,fictive
34,1,1.7185083347654237E-4,fictive
37,1,1.7185083347654237E-4,fictive
41,2,3.4370166695308474E-4,fictive
46,1,1.7185083347654237E-4,fictive
52,1,1.7185083347654237E-4,fictive
1,4518,0.7690212765957447,real
2,657,0.11182978723404255,real
3,235,0.04,real
4,115,0.01957446808510638,real
5,72,0.01225531914893617,real
6,59,0.010042553191489362,real
7,32,0.005446808510638298,real
8,23,0.003914893617021277,real
9,21,0.003574468085106383,real
10,18,0.0030638297872340424,real
11,11,0.001872340425531915,real
12,6,0.0010212765957446808,real
140,1,1.7021276595744682E-4,real
13,8,0.0013617021276595745,real
14,8,0.0013617021276595745,real
15,8,0.0013617021276595745,real
16,8,0.0013617021276595745,real
17,4,6.808510638297873E-4,real
18,5,8.51063829787234E-4,real
19,9,0.0015319148936170212,real
20,5,8.51063829787234E-4,real
21,1,1.7021276595744682E-4,real
22,3,5.106382978723404E-4,real
23,2,3.4042553191489364E-4,real
24,2,3.4042553191489364E-4,real
25,1,1.7021276595744682E-4,real
26,2,3.4042553191489364E-4,real
27,2,3.4042553191489364E-4,real
28,1,1.7021276595744682E-4,real
156,1,1.7021276595744682E-4,real
29,1,1.7021276595744682E-4,real
30,5,8.51063829787234E-4,real
31,4,6.808510638297873E-4,real
32,3,5.106382978723404E-4,real
33,2,3.4042553191489364E-4,real
34,1,1.7021276595744682E-4,real
37,2,3.4042553191489364E-4,real
40,1,1.7021276595744682E-4,real
41,1,1.7021276595744682E-4,real
43,2,3.4042553191489364E-4,real
44,2,3.4042553191489364E-4,real
46,1,1.7021276595744682E-4,real
54,1,1.7021276595744682E-4,real
56,2,3.4042553191489364E-4,real
62,1,1.7021276595744682E-4,real
63,1,1.7021276595744682E-4,real
72,1,1.7021276595744682E-4,real
73,1,1.7021276595744682E-4,real
78,1,1.7021276595744682E-4,real
87,1,1.7021276595744682E-4,real
90,1,1.7021276595744682E-4,real
93,1,1.7021276595744682E-4,real
124,1,1.7021276595744682E-4,real
