k,nbk,pk,type
1,914,0.5086254869226489,fictive
2,286,0.15915414579855314,fictive
3,138,0.07679465776293823,fictive
3203,1,5.564830272676684E-4,fictive
4,85,0.04730105731775181,fictive
5,52,0.028937117417918753,fictive
6,44,0.02448525319977741,fictive
134,1,5.564830272676684E-4,fictive
7,36,0.02003338898163606,fictive
8,31,0.01725097384529772,fictive
136,1,5.564830272676684E-4,fictive
1288,1,5.564830272676684E-4,fictive
9,23,0.012799109627156371,fictive
10,11,0.006121313299944352,fictive
11,11,0.006121313299944352,fictive
1035,1,5.564830272676684E-4,fictive
12,18,0.01001669449081803,fictive
13,12,0.00667779632721202,fictive
14,10,0.005564830272676683,fictive
15,6,0.00333889816360601,fictive
16,11,0.006121313299944352,fictive
3217,1,5.564830272676684E-4,fictive
17,4,0.0022259321090706734,fictive
22162,1,5.564830272676684E-4,fictive
18,4,0.0022259321090706734,fictive
146,1,5.564830272676684E-4,fictive
19,3,0.001669449081803005,fictive
20,8,0.004451864218141347,fictive
21,2,0.0011129660545353367,fictive
2709,1,5.564830272676684E-4,fictive
22,2,0.0011129660545353367,fictive
24,4,0.0022259321090706734,fictive
25,3,0.001669449081803005,fictive
26,3,0.001669449081803005,fictive
27,1,5.564830272676684E-4,fictive
15900,1,5.564830272676684E-4,fictive
28,2,0.0011129660545353367,fictive
29,2,0.0011129660545353367,fictive
31,4,0.0022259321090706734,fictive
159,1,5.564830272676684E-4,fictive
288,1,5.564830272676684E-4,fictive
6560,1,5.564830272676684E-4,fictive
33,2,0.0011129660545353367,fictive
290,1,5.564830272676684E-4,fictive
932,1,5.564830272676684E-4,fictive
678,1,5.564830272676684E-4,fictive
40,2,0.0011129660545353367,fictive
41,2,0.0011129660545353367,fictive
169,1,5.564830272676684E-4,fictive
42,1,5.564830272676684E-4,fictive
44,1,5.564830272676684E-4,fictive
45,1,5.564830272676684E-4,fictive
4655,1,5.564830272676684E-4,fictive
48,1,5.564830272676684E-4,fictive
49,1,5.564830272676684E-4,fictive
53,1,5.564830272676684E-4,fictive
54,1,5.564830272676684E-4,fictive
56,1,5.564830272676684E-4,fictive
185,1,5.564830272676684E-4,fictive
57,2,0.0011129660545353367,fictive
58,1,5.564830272676684E-4,fictive
14778,1,5.564830272676684E-4,fictive
59,1,5.564830272676684E-4,fictive
61,2,0.0011129660545353367,fictive
63,2,0.0011129660545353367,fictive
193,1,5.564830272676684E-4,fictive
