k,nbk,pk,type
1,904,0.5095828635851184,fictive
2,287,0.16178128523111612,fictive
3,158,0.08906426155580609,fictive
4,96,0.05411499436302142,fictive
5,65,0.03664036076662908,fictive
6,42,0.02367531003382187,fictive
7,16,0.009019165727170236,fictive
8,23,0.012965050732807215,fictive
9,15,0.008455467869222097,fictive
137,1,5.636978579481398E-4,fictive
10,6,0.0033821871476888386,fictive
11,14,0.007891770011273957,fictive
139,1,5.636978579481398E-4,fictive
12,10,0.005636978579481398,fictive
13,11,0.0062006764374295375,fictive
1165,1,5.636978579481398E-4,fictive
14,6,0.0033821871476888386,fictive
15,7,0.003945885005636978,fictive
16,9,0.005073280721533258,fictive
17,3,0.0016910935738444193,fictive
18,4,0.002254791431792559,fictive
19,2,0.0011273957158962795,fictive
403,1,5.636978579481398E-4,fictive
20,6,0.0033821871476888386,fictive
21,3,0.0016910935738444193,fictive
22,3,0.0016910935738444193,fictive
279,1,5.636978579481398E-4,fictive
23,4,0.002254791431792559,fictive
24,5,0.002818489289740699,fictive
25,4,0.002254791431792559,fictive
153,1,5.636978579481398E-4,fictive
26,6,0.0033821871476888386,fictive
27,2,0.0011273957158962795,fictive
28,3,0.0016910935738444193,fictive
30,2,0.0011273957158962795,fictive
31,1,5.636978579481398E-4,fictive
288,1,5.636978579481398E-4,fictive
32,1,5.636978579481398E-4,fictive
33,2,0.0011273957158962795,fictive
34,2,0.0011273957158962795,fictive
1571,1,5.636978579481398E-4,fictive
35,1,5.636978579481398E-4,fictive
37,1,5.636978579481398E-4,fictive
38,3,0.0016910935738444193,fictive
39,1,5.636978579481398E-4,fictive
42,1,5.636978579481398E-4,fictive
554,1,5.636978579481398E-4,fictive
43,1,5.636978579481398E-4,fictive
45,1,5.636978579481398E-4,fictive
48,1,5.636978579481398E-4,fictive
49,1,5.636978579481398E-4,fictive
50,2,0.0011273957158962795,fictive
52,2,0.0011273957158962795,fictive
54,2,0.0011273957158962795,fictive
55,3,0.0016910935738444193,fictive
57,1,5.636978579481398E-4,fictive
185,1,5.636978579481398E-4,fictive
186,1,5.636978579481398E-4,fictive
58,1,5.636978579481398E-4,fictive
63,1,5.636978579481398E-4,fictive
67,2,0.0011273957158962795,fictive
71,1,5.636978579481398E-4,fictive
73,1,5.636978579481398E-4,fictive
74,1,5.636978579481398E-4,fictive
75,1,5.636978579481398E-4,fictive
76,1,5.636978579481398E-4,fictive
84,1,5.636978579481398E-4,fictive
93,2,0.0011273957158962795,fictive
94,2,0.0011273957158962795,fictive
96,1,5.636978579481398E-4,fictive
