k,nbk,pk,type
256,1,1.3575889220743959E-4,fictive
1,3794,0.5150692370350258,fictive
513,1,1.3575889220743959E-4,fictive
2,1219,0.16549008960086886,fictive
23298,1,1.3575889220743959E-4,fictive
3,627,0.08512082541406463,fictive
4,341,0.0462937822427369,fictive
260,1,1.3575889220743959E-4,fictive
5,232,0.031496062992125984,fictive
6,161,0.021857181645397773,fictive
7,128,0.017377138202552267,fictive
8,83,0.011267988053217486,fictive
9,74,0.01004615802335053,fictive
10,81,0.010996470268802606,fictive
11,44,0.005973391257127342,fictive
12,41,0.005566114580505023,fictive
13,29,0.003937007874015748,fictive
14,34,0.004615802335052946,fictive
15,29,0.003937007874015748,fictive
271,1,1.3575889220743959E-4,fictive
16,34,0.004615802335052946,fictive
17,20,0.0027151778441487917,fictive
18,24,0.00325821341297855,fictive
19,16,0.0021721422753190334,fictive
20,20,0.0027151778441487917,fictive
21,9,0.0012218300298669563,fictive
22,12,0.001629106706489275,fictive
23,11,0.0014933478142818354,fictive
24,15,0.0020363833831115938,fictive
25,8,0.0010860711376595167,fictive
281,1,1.3575889220743959E-4,fictive
26,7,9.503122454520771E-4,fictive
538,1,1.3575889220743959E-4,fictive
27,9,0.0012218300298669563,fictive
284,1,1.3575889220743959E-4,fictive
28,12,0.001629106706489275,fictive
29,5,6.787944610371979E-4,fictive
4637,1,1.3575889220743959E-4,fictive
30,5,6.787944610371979E-4,fictive
31,2,2.7151778441487917E-4,fictive
32,8,0.0010860711376595167,fictive
33,7,9.503122454520771E-4,fictive
34,6,8.145533532446375E-4,fictive
35,4,5.430355688297583E-4,fictive
36,5,6.787944610371979E-4,fictive
548,1,1.3575889220743959E-4,fictive
37,5,6.787944610371979E-4,fictive
38,4,5.430355688297583E-4,fictive
295,1,1.3575889220743959E-4,fictive
39,9,0.0012218300298669563,fictive
40,2,2.7151778441487917E-4,fictive
41,6,8.145533532446375E-4,fictive
42,4,5.430355688297583E-4,fictive
555,1,1.3575889220743959E-4,fictive
43,1,1.3575889220743959E-4,fictive
299,1,1.3575889220743959E-4,fictive
44,1,1.3575889220743959E-4,fictive
