k,nbk,pk,type
1,1923,0.5087301587301587,fictive
2,590,0.15608465608465608,fictive
5634,1,2.6455026455026457E-4,fictive
3,346,0.09153439153439154,fictive
4,168,0.044444444444444446,fictive
5,113,0.029894179894179893,fictive
6,75,0.01984126984126984,fictive
7,65,0.017195767195767195,fictive
8,68,0.01798941798941799,fictive
9,35,0.009259259259259259,fictive
38665,1,2.6455026455026457E-4,fictive
10,32,0.008465608465608466,fictive
11,23,0.006084656084656085,fictive
267,1,2.6455026455026457E-4,fictive
12,20,0.005291005291005291,fictive
13,19,0.0050264550264550265,fictive
525,1,2.6455026455026457E-4,fictive
14,18,0.004761904761904762,fictive
15,21,0.005555555555555556,fictive
16,12,0.0031746031746031746,fictive
7696,1,2.6455026455026457E-4,fictive
17,14,0.003703703703703704,fictive
273,1,2.6455026455026457E-4,fictive
18,9,0.002380952380952381,fictive
19,13,0.0034391534391534392,fictive
20,10,0.0026455026455026454,fictive
21,3,7.936507936507937E-4,fictive
22,6,0.0015873015873015873,fictive
534,1,2.6455026455026457E-4,fictive
23,5,0.0013227513227513227,fictive
18455,1,2.6455026455026457E-4,fictive
24,7,0.001851851851851852,fictive
25,7,0.001851851851851852,fictive
26,3,7.936507936507937E-4,fictive
27,5,0.0013227513227513227,fictive
28,5,0.0013227513227513227,fictive
2077,1,2.6455026455026457E-4,fictive
29,5,0.0013227513227513227,fictive
30,11,0.00291005291005291,fictive
28958,1,2.6455026455026457E-4,fictive
31,3,7.936507936507937E-4,fictive
32,5,0.0013227513227513227,fictive
33,4,0.0010582010582010583,fictive
34,3,7.936507936507937E-4,fictive
35,4,0.0010582010582010583,fictive
547,1,2.6455026455026457E-4,fictive
36,5,0.0013227513227513227,fictive
37,4,0.0010582010582010583,fictive
38,4,0.0010582010582010583,fictive
39,1,2.6455026455026457E-4,fictive
40,3,7.936507936507937E-4,fictive
41,4,0.0010582010582010583,fictive
42,2,5.291005291005291E-4,fictive
43,1,2.6455026455026457E-4,fictive
44,3,7.936507936507937E-4,fictive
46,2,5.291005291005291E-4,fictive
47,2,5.291005291005291E-4,fictive
48,1,2.6455026455026457E-4,fictive
49,2,5.291005291005291E-4,fictive
50,3,7.936507936507937E-4,fictive
51,1,2.6455026455026457E-4,fictive
52,3,7.936507936507937E-4,fictive
53,3,7.936507936507937E-4,fictive
55,4,0.0010582010582010583,fictive
56,2,5.291005291005291E-4,fictive
57,1,2.6455026455026457E-4,fictive
58,3,7.936507936507937E-4,fictive
10810,1,2.6455026455026457E-4,fictive
59,1,2.6455026455026457E-4,fictive
60,2,5.291005291005291E-4,fictive
62,1,2.6455026455026457E-4,fictive
64,2,5.291005291005291E-4,fictive
65,1,2.6455026455026457E-4,fictive
66,1,2.6455026455026457E-4,fictive
68,2,5.291005291005291E-4,fictive
69,2,5.291005291005291E-4,fictive
71,1,2.6455026455026457E-4,fictive
15177,1,2.6455026455026457E-4,fictive
73,1,2.6455026455026457E-4,fictive
78,1,2.6455026455026457E-4,fictive
336,1,2.6455026455026457E-4,fictive
337,1,2.6455026455026457E-4,fictive
83,1,2.6455026455026457E-4,fictive
84,1,2.6455026455026457E-4,fictive
88,2,5.291005291005291E-4,fictive
858,1,2.6455026455026457E-4,fictive
91,1,2.6455026455026457E-4,fictive
95,1,2.6455026455026457E-4,fictive
98,1,2.6455026455026457E-4,fictive
16994,1,2.6455026455026457E-4,fictive
