property, alpha_real, alpha_fictive
illustrator,1.7769994321091902,1.743437151724423
site of astronomical discovery,1.545265556864897,1.3483061552334383
cause of death,1.6809735394447138,1.4262367289879299
architectural style,1.7838406506227424,2.2750193007249915
fabrication method,1.418425750994229,1.8444369070011826
native language,1.8386772604421453,1.3672948056244378
has works in the collection,2.1802816176557376,1.5411148730301378
competition class,1.4462590131764164,1.3718844351293742
religion,1.5082740914866357,1.3954438163003784
member of political party,1.9795352186289685,1.5593371299532275
creator,2.128829548285551,2.0767814485746956
