k,nbk,pk,type
1,111022,0.5635377063992001,fictive
2,33789,0.17150993101837986,fictive
3,15749,0.07994051033201528,fictive
4,8857,0.04495733697445294,fictive
5,5731,0.029090041571704847,fictive
6,3851,0.019547330325010534,fictive
7,2810,0.014263307767665436,fictive
8,2154,0.010933510651797634,fictive
9,1629,0.00826865777705587,fictive
10,1362,0.006913389743615774,fictive
11,1052,0.005339857569958733,fictive
12,813,0.00412671502317153,fictive
1036,1,5.075910237603358E-6,fictive
13,748,0.003796780857727312,fictive
14,636,0.003228278911115736,fictive
15,551,0.0027968265409194504,fictive
16,465,0.0023602982604855618,fictive
17,401,0.0020354400052789465,fictive
18,361,0.0018324035957748123,fictive
19,328,0.0016648985579339015,fictive
20,292,0.0014821657893801805,fictive
21,245,0.0012435980082128228,fictive
22,214,0.0010862447908471186,fictive
23,197,9.999543168078616E-4,fictive
24,197,9.999543168078616E-4,fictive
25,183,9.288915734814145E-4,fictive
26,167,8.476770096797608E-4,fictive
27,147,7.461588049276936E-4,fictive
28,116,5.888055875619896E-4,fictive
29,124,6.294128694628164E-4,fictive
30,105,5.329705749483526E-4,fictive
31,118,5.989574080371963E-4,fictive
32,109,5.532742158987661E-4,fictive
33,101,5.126669339979392E-4,fictive
34,81,4.1114872924587204E-4,fictive
35,91,4.619078316219056E-4,fictive
36,76,3.8576917805785524E-4,fictive
37,67,3.40085985919425E-4,fictive
38,64,3.2485825520661493E-4,fictive
39,65,3.2993416544421826E-4,fictive
40,62,3.147064347314082E-4,fictive
41,55,2.791750630681847E-4,fictive
1065,1,5.075910237603358E-6,fictive
42,51,2.588714221177713E-4,fictive
43,52,2.639473323553746E-4,fictive
44,42,2.1318822997934105E-4,fictive
45,49,2.4871960164256455E-4,fictive
46,35,1.7765685831611753E-4,fictive
47,40,2.0303640950413432E-4,fictive
48,42,2.1318822997934105E-4,fictive
49,45,2.2841596069215112E-4,fictive
50,23,1.1674593546487724E-4,fictive
51,40,2.0303640950413432E-4,fictive
52,32,1.6242912760330746E-4,fictive
53,27,1.3704957641529067E-4,fictive
54,30,1.5227730712810074E-4,fictive
55,26,1.319736661776873E-4,fictive
56,31,1.573532173657041E-4,fictive
57,17,8.62904740392571E-5,fictive
58,15,7.613865356405037E-5,fictive
59,23,1.1674593546487724E-4,fictive
6203,1,5.075910237603358E-6,fictive
60,19,9.644229451446381E-5,fictive
61,21,1.0659411498967053E-4,fictive
62,22,1.1167002522727388E-4,fictive
63,25,1.2689775594008397E-4,fictive
64,22,1.1167002522727388E-4,fictive
65,15,7.613865356405037E-5,fictive
66,11,5.583501261363694E-5,fictive
