k,nbk,pk,type
1,595,0.4995801847187238,fictive
2,202,0.16960537363560033,fictive
5890,1,8.396305625524769E-4,fictive
3,99,0.08312342569269521,fictive
771,1,8.396305625524769E-4,fictive
4,64,0.05373635600335852,fictive
5,35,0.02938706968933669,fictive
6,35,0.02938706968933669,fictive
7,11,0.009235936188077247,fictive
8,15,0.012594458438287154,fictive
9,17,0.014273719563392108,fictive
10,10,0.008396305625524769,fictive
11,5,0.0041981528127623844,fictive
12,11,0.009235936188077247,fictive
13,5,0.0041981528127623844,fictive
14,4,0.0033585222502099076,fictive
16,9,0.007556675062972292,fictive
17,4,0.0033585222502099076,fictive
18,7,0.005877413937867338,fictive
19,2,0.0016792611251049538,fictive
276,1,8.396305625524769E-4,fictive
20,4,0.0033585222502099076,fictive
21,3,0.0025188916876574307,fictive
405,1,8.396305625524769E-4,fictive
5013,1,8.396305625524769E-4,fictive
22,1,8.396305625524769E-4,fictive
150,1,8.396305625524769E-4,fictive
23,2,0.0016792611251049538,fictive
1559,1,8.396305625524769E-4,fictive
24,1,8.396305625524769E-4,fictive
25,2,0.0016792611251049538,fictive
26,1,8.396305625524769E-4,fictive
27,2,0.0016792611251049538,fictive
29,1,8.396305625524769E-4,fictive
1054,1,8.396305625524769E-4,fictive
31,1,8.396305625524769E-4,fictive
34,2,0.0016792611251049538,fictive
35,1,8.396305625524769E-4,fictive
2339,1,8.396305625524769E-4,fictive
40,2,0.0016792611251049538,fictive
41,1,8.396305625524769E-4,fictive
42,1,8.396305625524769E-4,fictive
44,1,8.396305625524769E-4,fictive
2991,1,8.396305625524769E-4,fictive
49,1,8.396305625524769E-4,fictive
8114,1,8.396305625524769E-4,fictive
50,1,8.396305625524769E-4,fictive
53,1,8.396305625524769E-4,fictive
1721,1,8.396305625524769E-4,fictive
1852,1,8.396305625524769E-4,fictive
60,1,8.396305625524769E-4,fictive
62,1,8.396305625524769E-4,fictive
2754,1,8.396305625524769E-4,fictive
3139,1,8.396305625524769E-4,fictive
2759,1,8.396305625524769E-4,fictive
332,1,8.396305625524769E-4,fictive
76,1,8.396305625524769E-4,fictive
335,1,8.396305625524769E-4,fictive
80,2,0.0016792611251049538,fictive
5975,1,8.396305625524769E-4,fictive
3424,1,8.396305625524769E-4,fictive
1251,1,8.396305625524769E-4,fictive
4327,1,8.396305625524769E-4,fictive
4842,1,8.396305625524769E-4,fictive
113,1,8.396305625524769E-4,fictive
755,1,8.396305625524769E-4,fictive
2042,1,8.396305625524769E-4,fictive
1276,1,8.396305625524769E-4,fictive
256,1,0.0010330578512396695,real
1,533,0.5506198347107438,real
2,119,0.12293388429752067,real
514,1,0.0010330578512396695,real
2562,1,0.0010330578512396695,real
3,51,0.05268595041322314,real
