k,nbk,pk,type
1,3700,0.4990558403021311,fictive
2,1271,0.17143242514162396,fictive
3,605,0.08160237388724036,fictive
4,397,0.053547342864850286,fictive
260,1,1.348799568384138E-4,fictive
5,247,0.03331534933908821,fictive
6,160,0.02158079309414621,fictive
7,137,0.018478554086862692,fictive
8,101,0.013622875640679795,fictive
9,81,0.01092527650391152,fictive
265,1,1.348799568384138E-4,fictive
10,54,0.007283517669274346,fictive
11,48,0.006474237928243863,fictive
12,58,0.007823037496628,fictive
13,45,0.006069598057728621,fictive
14,30,0.004046398705152414,fictive
782,1,1.348799568384138E-4,fictive
15,23,0.0031022390072835177,fictive
16,33,0.004451038575667656,fictive
17,22,0.002967359050445104,fictive
273,1,1.348799568384138E-4,fictive
18,23,0.0031022390072835177,fictive
19,17,0.0022929592662530346,fictive
20,18,0.0024278392230914487,fictive
21,14,0.0018883193957377933,fictive
2581,1,1.348799568384138E-4,fictive
22,10,0.001348799568384138,fictive
23,14,0.0018883193957377933,fictive
24,10,0.001348799568384138,fictive
25,16,0.002158079309414621,fictive
26,8,0.0010790396547073105,fictive
27,6,8.092797410304828E-4,fictive
28,7,9.441596978688966E-4,fictive
29,8,0.0010790396547073105,fictive
30,5,6.74399784192069E-4,fictive
286,1,1.348799568384138E-4,fictive
31,8,0.0010790396547073105,fictive
32,4,5.395198273536552E-4,fictive
33,5,6.74399784192069E-4,fictive
34,5,6.74399784192069E-4,fictive
290,1,1.348799568384138E-4,fictive
35,5,6.74399784192069E-4,fictive
36,4,5.395198273536552E-4,fictive
37,1,1.348799568384138E-4,fictive
8742,1,1.348799568384138E-4,fictive
38,8,0.0010790396547073105,fictive
1574,1,1.348799568384138E-4,fictive
39,4,5.395198273536552E-4,fictive
40,6,8.092797410304828E-4,fictive
41,5,6.74399784192069E-4,fictive
42,4,5.395198273536552E-4,fictive
43,3,4.046398705152414E-4,fictive
44,7,9.441596978688966E-4,fictive
45,6,8.092797410304828E-4,fictive
46,6,8.092797410304828E-4,fictive
47,1,1.348799568384138E-4,fictive
303,1,1.348799568384138E-4,fictive
19248,1,1.348799568384138E-4,fictive
48,2,2.697599136768276E-4,fictive
49,3,4.046398705152414E-4,fictive
50,4,5.395198273536552E-4,fictive
51,2,2.697599136768276E-4,fictive
52,4,5.395198273536552E-4,fictive
53,6,8.092797410304828E-4,fictive
54,2,2.697599136768276E-4,fictive
55,2,2.697599136768276E-4,fictive
56,1,1.348799568384138E-4,fictive
58,1,1.348799568384138E-4,fictive
59,1,1.348799568384138E-4,fictive
60,4,5.395198273536552E-4,fictive
4157,1,1.348799568384138E-4,fictive
61,1,1.348799568384138E-4,fictive
62,1,1.348799568384138E-4,fictive
63,5,6.74399784192069E-4,fictive
64,3,4.046398705152414E-4,fictive
65,3,4.046398705152414E-4,fictive
66,5,6.74399784192069E-4,fictive
67,2,2.697599136768276E-4,fictive
835,1,1.348799568384138E-4,fictive
68,2,2.697599136768276E-4,fictive
69,1,1.348799568384138E-4,fictive
70,2,2.697599136768276E-4,fictive
71,1,1.348799568384138E-4,fictive
74,2,2.697599136768276E-4,fictive
76,1,1.348799568384138E-4,fictive
77,1,1.348799568384138E-4,fictive
78,2,2.697599136768276E-4,fictive
79,1,1.348799568384138E-4,fictive
336,1,1.348799568384138E-4,fictive
80,1,1.348799568384138E-4,fictive
82,1,1.348799568384138E-4,fictive
83,1,1.348799568384138E-4,fictive
340,1,1.348799568384138E-4,fictive
85,1,1.348799568384138E-4,fictive
89,2,2.697599136768276E-4,fictive
91,3,4.046398705152414E-4,fictive
95,1,1.348799568384138E-4,fictive
97,2,2.697599136768276E-4,fictive
99,1,1.348799568384138E-4,fictive
100,3,4.046398705152414E-4,fictive
2404,1,1.348799568384138E-4,fictive
101,2,2.697599136768276E-4,fictive
4198,1,1.348799568384138E-4,fictive
103,1,1.348799568384138E-4,fictive
1895,1,1.348799568384138E-4,fictive
6761,1,1.348799568384138E-4,fictive
105,1,1.348799568384138E-4,fictive
364,1,1.348799568384138E-4,fictive
110,3,4.046398705152414E-4,fictive
111,1,1.348799568384138E-4,fictive
112,1,1.348799568384138E-4,fictive
113,1,1.348799568384138E-4,fictive
2419,1,1.348799568384138E-4,fictive
115,1,1.348799568384138E-4,fictive
116,3,4.046398705152414E-4,fictive
629,1,1.348799568384138E-4,fictive
118,1,1.348799568384138E-4,fictive
378,1,1.348799568384138E-4,fictive
122,1,1.348799568384138E-4,fictive
124,1,1.348799568384138E-4,fictive
127,2,2.697599136768276E-4,fictive
128,1,1.348799568384138E-4,fictive
1409,1,1.348799568384138E-4,fictive
11650,1,1.348799568384138E-4,fictive
131,1,1.348799568384138E-4,fictive
133,1,1.348799568384138E-4,fictive
2186,1,1.348799568384138E-4,fictive
142,1,1.348799568384138E-4,fictive
143,1,1.348799568384138E-4,fictive
144,1,1.348799568384138E-4,fictive
148,1,1.348799568384138E-4,fictive
662,1,1.348799568384138E-4,fictive
13976,1,1.348799568384138E-4,fictive
153,1,1.348799568384138E-4,fictive
169,1,1.348799568384138E-4,fictive
173,1,1.348799568384138E-4,fictive
175,1,1.348799568384138E-4,fictive
1201,1,1.348799568384138E-4,fictive
10932,1,1.348799568384138E-4,fictive
182,1,1.348799568384138E-4,fictive
186,1,1.348799568384138E-4,fictive
1214,1,1.348799568384138E-4,fictive
193,1,1.348799568384138E-4,fictive
199,1,1.348799568384138E-4,fictive
712,1,1.348799568384138E-4,fictive
200,1,1.348799568384138E-4,fictive
202,1,1.348799568384138E-4,fictive
203,2,2.697599136768276E-4,fictive
1485,1,1.348799568384138E-4,fictive
717,1,1.348799568384138E-4,fictive
9173,1,1.348799568384138E-4,fictive
215,1,1.348799568384138E-4,fictive
3035,1,1.348799568384138E-4,fictive
225,1,1.348799568384138E-4,fictive
485,1,1.348799568384138E-4,fictive
13292,1,1.348799568384138E-4,fictive
238,1,1.348799568384138E-4,fictive
496,1,1.348799568384138E-4,fictive
243,1,1.348799568384138E-4,fictive
12792,1,1.348799568384138E-4,fictive
1021,1,1.348799568384138E-4,fictive
1,2568,0.48379804069329313,real
2049,1,1.8839487565938207E-4,real
2,733,0.13809344385832706,real
3,344,0.06480783722682742,real
4,208,0.03918613413715147,real
5,155,0.02920120572720422,real
6,106,0.019969856819894497,real
7,85,0.016013564431047476,real
8,80,0.015071590052750565,real
9,51,0.009608138658628486,real
10,53,0.009984928409947249,real
11,45,0.008477769404672193,real
12,40,0.007535795026375283,real
13,43,0.008100979653353428,real
14,33,0.0062170308967596085,real
15,26,0.0048982667671439335,real
2063,1,1.8839487565938207E-4,real
16,25,0.004709871891484552,real
5648,1,1.8839487565938207E-4,real
17,26,0.0048982667671439335,real
18,26,0.0048982667671439335,real
19,25,0.004709871891484552,real
531,1,1.8839487565938207E-4,real
20,17,0.003202712886209495,real
21,20,0.0037678975131876413,real
1045,1,1.8839487565938207E-4,real
22,19,0.0035795026375282594,real
23,15,0.002825923134890731,real
535,1,1.8839487565938207E-4,real
24,15,0.002825923134890731,real
536,1,1.8839487565938207E-4,real
25,19,0.0035795026375282594,real
1561,1,1.8839487565938207E-4,real
26,14,0.0026375282592313487,real
1050,1,1.8839487565938207E-4,real
27,10,0.0018839487565938207,real
28,7,0.0013187641296156744,real
29,12,0.002260738507912585,real
30,9,0.0016955538809344385,real
31,7,0.0013187641296156744,real
32,6,0.0011303692539562924,real
33,7,0.0013187641296156744,real
1057,1,1.8839487565938207E-4,real
1058,1,1.8839487565938207E-4,real
34,15,0.002825923134890731,real
35,5,9.419743782969103E-4,real
9251,1,1.8839487565938207E-4,real
547,1,1.8839487565938207E-4,real
36,8,0.0015071590052750565,real
37,9,0.0016955538809344385,real
38,8,0.0015071590052750565,real
39,6,0.0011303692539562924,real
1063,1,1.8839487565938207E-4,real
40,7,0.0013187641296156744,real
552,1,1.8839487565938207E-4,real
41,6,0.0011303692539562924,real
42,1,1.8839487565938207E-4,real
43,7,0.0013187641296156744,real
1068,1,1.8839487565938207E-4,real
44,3,5.651846269781462E-4,real
45,4,7.535795026375283E-4,real
3117,1,1.8839487565938207E-4,real
46,3,5.651846269781462E-4,real
47,1,1.8839487565938207E-4,real
48,5,9.419743782969103E-4,real
49,4,7.535795026375283E-4,real
50,4,7.535795026375283E-4,real
563,1,1.8839487565938207E-4,real
51,6,0.0011303692539562924,real
52,3,5.651846269781462E-4,real
54,4,7.535795026375283E-4,real
55,6,0.0011303692539562924,real
56,2,3.7678975131876413E-4,real
57,3,5.651846269781462E-4,real
58,3,5.651846269781462E-4,real
59,3,5.651846269781462E-4,real
60,2,3.7678975131876413E-4,real
61,3,5.651846269781462E-4,real
62,3,5.651846269781462E-4,real
4159,1,1.8839487565938207E-4,real
63,3,5.651846269781462E-4,real
64,2,3.7678975131876413E-4,real
1088,1,1.8839487565938207E-4,real
65,2,3.7678975131876413E-4,real
1090,1,1.8839487565938207E-4,real
66,1,1.8839487565938207E-4,real
67,6,0.0011303692539562924,real
68,4,7.535795026375283E-4,real
69,1,1.8839487565938207E-4,real
70,4,7.535795026375283E-4,real
582,2,3.7678975131876413E-4,real
71,2,3.7678975131876413E-4,real
1095,1,1.8839487565938207E-4,real
584,1,1.8839487565938207E-4,real
72,1,1.8839487565938207E-4,real
74,2,3.7678975131876413E-4,real
75,2,3.7678975131876413E-4,real
77,3,5.651846269781462E-4,real
78,3,5.651846269781462E-4,real
79,3,5.651846269781462E-4,real
1104,1,1.8839487565938207E-4,real
3152,1,1.8839487565938207E-4,real
80,2,3.7678975131876413E-4,real
81,2,3.7678975131876413E-4,real
593,1,1.8839487565938207E-4,real
1106,1,1.8839487565938207E-4,real
82,2,3.7678975131876413E-4,real
1107,1,1.8839487565938207E-4,real
83,2,3.7678975131876413E-4,real
84,3,5.651846269781462E-4,real
85,4,7.535795026375283E-4,real
1622,1,1.8839487565938207E-4,real
88,4,7.535795026375283E-4,real
601,1,1.8839487565938207E-4,real
1113,1,1.8839487565938207E-4,real
89,1,1.8839487565938207E-4,real
90,1,1.8839487565938207E-4,real
91,2,3.7678975131876413E-4,real
93,3,5.651846269781462E-4,real
1629,1,1.8839487565938207E-4,real
606,2,3.7678975131876413E-4,real
94,1,1.8839487565938207E-4,real
95,3,5.651846269781462E-4,real
96,1,1.8839487565938207E-4,real
97,2,3.7678975131876413E-4,real
98,2,3.7678975131876413E-4,real
99,3,5.651846269781462E-4,real
100,1,1.8839487565938207E-4,real
101,1,1.8839487565938207E-4,real
613,1,1.8839487565938207E-4,real
102,1,1.8839487565938207E-4,real
103,2,3.7678975131876413E-4,real
1128,1,1.8839487565938207E-4,real
104,1,1.8839487565938207E-4,real
105,1,1.8839487565938207E-4,real
106,2,3.7678975131876413E-4,real
107,1,1.8839487565938207E-4,real
108,1,1.8839487565938207E-4,real
110,1,1.8839487565938207E-4,real
111,1,1.8839487565938207E-4,real
113,1,1.8839487565938207E-4,real
114,1,1.8839487565938207E-4,real
115,2,3.7678975131876413E-4,real
116,1,1.8839487565938207E-4,real
2678,1,1.8839487565938207E-4,real
119,2,3.7678975131876413E-4,real
1655,1,1.8839487565938207E-4,real
120,2,3.7678975131876413E-4,real
123,1,1.8839487565938207E-4,real
124,1,1.8839487565938207E-4,real
125,2,3.7678975131876413E-4,real
126,1,1.8839487565938207E-4,real
127,1,1.8839487565938207E-4,real
642,1,1.8839487565938207E-4,real
131,1,1.8839487565938207E-4,real
132,2,3.7678975131876413E-4,real
136,2,3.7678975131876413E-4,real
137,2,3.7678975131876413E-4,real
138,1,1.8839487565938207E-4,real
140,1,1.8839487565938207E-4,real
142,1,1.8839487565938207E-4,real
143,1,1.8839487565938207E-4,real
144,2,3.7678975131876413E-4,real
5777,1,1.8839487565938207E-4,real
1681,1,1.8839487565938207E-4,real
145,1,1.8839487565938207E-4,real
146,2,3.7678975131876413E-4,real
2194,1,1.8839487565938207E-4,real
147,1,1.8839487565938207E-4,real
148,1,1.8839487565938207E-4,real
663,1,1.8839487565938207E-4,real
152,1,1.8839487565938207E-4,real
154,2,3.7678975131876413E-4,real
157,2,3.7678975131876413E-4,real
159,1,1.8839487565938207E-4,real
1186,1,1.8839487565938207E-4,real
163,1,1.8839487565938207E-4,real
164,1,1.8839487565938207E-4,real
165,1,1.8839487565938207E-4,real
678,1,1.8839487565938207E-4,real
166,1,1.8839487565938207E-4,real
681,1,1.8839487565938207E-4,real
170,1,1.8839487565938207E-4,real
171,2,3.7678975131876413E-4,real
172,1,1.8839487565938207E-4,real
173,1,1.8839487565938207E-4,real
1198,1,1.8839487565938207E-4,real
176,1,1.8839487565938207E-4,real
178,2,3.7678975131876413E-4,real
179,1,1.8839487565938207E-4,real
181,1,1.8839487565938207E-4,real
182,1,1.8839487565938207E-4,real
694,1,1.8839487565938207E-4,real
696,1,1.8839487565938207E-4,real
185,1,1.8839487565938207E-4,real
1210,1,1.8839487565938207E-4,real
187,1,1.8839487565938207E-4,real
188,1,1.8839487565938207E-4,real
189,1,1.8839487565938207E-4,real
4287,1,1.8839487565938207E-4,real
191,2,3.7678975131876413E-4,real
1218,1,1.8839487565938207E-4,real
2244,1,1.8839487565938207E-4,real
197,2,3.7678975131876413E-4,real
200,1,1.8839487565938207E-4,real
203,1,1.8839487565938207E-4,real
209,1,1.8839487565938207E-4,real
210,1,1.8839487565938207E-4,real
211,1,1.8839487565938207E-4,real
723,1,1.8839487565938207E-4,real
1747,1,1.8839487565938207E-4,real
214,1,1.8839487565938207E-4,real
217,1,1.8839487565938207E-4,real
