k,nbk,pk,type
1,3863,0.6569727891156463,fictive
2,1008,0.17142857142857143,fictive
3,404,0.06870748299319727,fictive
4,206,0.03503401360544218,fictive
68,1,1.7006802721088434E-4,fictive
5,117,0.01989795918367347,fictive
6,76,0.01292517006802721,fictive
7,35,0.005952380952380952,fictive
8,34,0.005782312925170068,fictive
72,1,1.7006802721088434E-4,fictive
9,28,0.004761904761904762,fictive
10,16,0.0027210884353741495,fictive
11,21,0.0035714285714285713,fictive
12,10,0.0017006802721088435,fictive
13,8,0.0013605442176870747,fictive
14,3,5.102040816326531E-4,fictive
15,7,0.0011904761904761906,fictive
16,6,0.0010204081632653062,fictive
17,3,5.102040816326531E-4,fictive
18,5,8.503401360544217E-4,fictive
19,4,6.802721088435374E-4,fictive
20,1,1.7006802721088434E-4,fictive
21,2,3.401360544217687E-4,fictive
86,2,3.401360544217687E-4,fictive
22,3,5.102040816326531E-4,fictive
23,1,1.7006802721088434E-4,fictive
24,1,1.7006802721088434E-4,fictive
25,2,3.401360544217687E-4,fictive
27,2,3.401360544217687E-4,fictive
29,1,1.7006802721088434E-4,fictive
32,1,1.7006802721088434E-4,fictive
36,2,3.401360544217687E-4,fictive
37,1,1.7006802721088434E-4,fictive
38,1,1.7006802721088434E-4,fictive
41,1,1.7006802721088434E-4,fictive
51,1,1.7006802721088434E-4,fictive
52,1,1.7006802721088434E-4,fictive
59,1,1.7006802721088434E-4,fictive
1,4526,0.7680298659426438,real
2,661,0.11216697777023588,real
3,239,0.04055659256745291,real
4,116,0.019684371287968776,real
5,71,0.012048192771084338,real
6,59,0.010011878499915153,real
7,34,0.00576955710164602,real
8,23,0.0039029356864076024,real
9,21,0.0035635499745460715,real
10,18,0.0030544714067537756,real
11,11,0.0018666214152384185,real
12,6,0.001018157135584592,real
140,1,1.6969285593076533E-4,real
13,8,0.0013575428474461226,real
14,7,0.0011878499915153572,real
15,7,0.0011878499915153572,real
16,10,0.0016969285593076533,real
17,3,5.09078567792296E-4,real
18,6,0.001018157135584592,real
19,8,0.0013575428474461226,real
20,5,8.484642796538266E-4,real
21,1,1.6969285593076533E-4,real
22,3,5.09078567792296E-4,real
23,2,3.3938571186153065E-4,real
24,2,3.3938571186153065E-4,real
25,1,1.6969285593076533E-4,real
26,2,3.3938571186153065E-4,real
27,2,3.3938571186153065E-4,real
28,1,1.6969285593076533E-4,real
156,1,1.6969285593076533E-4,real
29,1,1.6969285593076533E-4,real
30,5,8.484642796538266E-4,real
31,4,6.787714237230613E-4,real
32,2,3.3938571186153065E-4,real
33,3,5.09078567792296E-4,real
34,1,1.6969285593076533E-4,real
37,2,3.3938571186153065E-4,real
40,1,1.6969285593076533E-4,real
41,1,1.6969285593076533E-4,real
42,1,1.6969285593076533E-4,real
43,2,3.3938571186153065E-4,real
44,2,3.3938571186153065E-4,real
46,1,1.6969285593076533E-4,real
54,1,1.6969285593076533E-4,real
56,2,3.3938571186153065E-4,real
62,1,1.6969285593076533E-4,real
63,1,1.6969285593076533E-4,real
72,1,1.6969285593076533E-4,real
73,1,1.6969285593076533E-4,real
78,1,1.6969285593076533E-4,real
87,1,1.6969285593076533E-4,real
90,1,1.6969285593076533E-4,real
93,1,1.6969285593076533E-4,real
124,1,1.6969285593076533E-4,real
