k,nbk,pk,type
1,893,0.5028153153153153,fictive
2,286,0.16103603603603603,fictive
3,148,0.08333333333333333,fictive
4,85,0.04786036036036036,fictive
5,62,0.03490990990990991,fictive
6,43,0.02421171171171171,fictive
7,28,0.015765765765765764,fictive
8,19,0.010698198198198198,fictive
9,20,0.01126126126126126,fictive
10,18,0.010135135135135136,fictive
11,11,0.006193693693693694,fictive
12,8,0.0045045045045045045,fictive
13,10,0.00563063063063063,fictive
2574,1,5.630630630630631E-4,fictive
14,8,0.0045045045045045045,fictive
15,6,0.0033783783783783786,fictive
16,9,0.005067567567567568,fictive
17,2,0.0011261261261261261,fictive
18,7,0.003941441441441441,fictive
19,3,0.0016891891891891893,fictive
20,2,0.0011261261261261261,fictive
21,2,0.0011261261261261261,fictive
22,8,0.0045045045045045045,fictive
23,2,0.0011261261261261261,fictive
6936,1,5.630630630630631E-4,fictive
25,1,5.630630630630631E-4,fictive
26,3,0.0016891891891891893,fictive
27,2,0.0011261261261261261,fictive
29,2,0.0011261261261261261,fictive
30,3,0.0016891891891891893,fictive
32,1,5.630630630630631E-4,fictive
33,2,0.0011261261261261261,fictive
34,2,0.0011261261261261261,fictive
35,1,5.630630630630631E-4,fictive
38,1,5.630630630630631E-4,fictive
14375,1,5.630630630630631E-4,fictive
42,1,5.630630630630631E-4,fictive
44,1,5.630630630630631E-4,fictive
45,1,5.630630630630631E-4,fictive
46,4,0.0022522522522522522,fictive
7215,1,5.630630630630631E-4,fictive
47,1,5.630630630630631E-4,fictive
48,1,5.630630630630631E-4,fictive
49,1,5.630630630630631E-4,fictive
51,1,5.630630630630631E-4,fictive
52,2,0.0011261261261261261,fictive
53,1,5.630630630630631E-4,fictive
54,3,0.0016891891891891893,fictive
1078,1,5.630630630630631E-4,fictive
9271,1,5.630630630630631E-4,fictive
55,1,5.630630630630631E-4,fictive
56,2,0.0011261261261261261,fictive
57,2,0.0011261261261261261,fictive
58,1,5.630630630630631E-4,fictive
59,1,5.630630630630631E-4,fictive
60,1,5.630630630630631E-4,fictive
61,1,5.630630630630631E-4,fictive
62,1,5.630630630630631E-4,fictive
64,1,5.630630630630631E-4,fictive
324,1,5.630630630630631E-4,fictive
68,1,5.630630630630631E-4,fictive
73,1,5.630630630630631E-4,fictive
3914,1,5.630630630630631E-4,fictive
1104,1,5.630630630630631E-4,fictive
81,1,5.630630630630631E-4,fictive
83,1,5.630630630630631E-4,fictive
84,1,5.630630630630631E-4,fictive
5206,1,5.630630630630631E-4,fictive
88,1,5.630630630630631E-4,fictive
89,1,5.630630630630631E-4,fictive
347,1,5.630630630630631E-4,fictive
91,1,5.630630630630631E-4,fictive
98,1,5.630630630630631E-4,fictive
6244,1,5.630630630630631E-4,fictive
104,1,5.630630630630631E-4,fictive
109,1,5.630630630630631E-4,fictive
111,1,5.630630630630631E-4,fictive
113,1,5.630630630630631E-4,fictive
116,1,5.630630630630631E-4,fictive
117,1,5.630630630630631E-4,fictive
2687,1,5.630630630630631E-4,fictive
128,1,5.630630630630631E-4,fictive
14977,1,5.630630630630631E-4,fictive
900,1,5.630630630630631E-4,fictive
136,1,5.630630630630631E-4,fictive
139,1,5.630630630630631E-4,fictive
141,1,5.630630630630631E-4,fictive
142,1,5.630630630630631E-4,fictive
144,1,5.630630630630631E-4,fictive
405,1,5.630630630630631E-4,fictive
2454,1,5.630630630630631E-4,fictive
921,1,5.630630630630631E-4,fictive
6812,1,5.630630630630631E-4,fictive
164,1,5.630630630630631E-4,fictive
3247,1,5.630630630630631E-4,fictive
176,1,5.630630630630631E-4,fictive
6067,1,5.630630630630631E-4,fictive
195,1,5.630630630630631E-4,fictive
201,1,5.630630630630631E-4,fictive
11209,1,5.630630630630631E-4,fictive
213,1,5.630630630630631E-4,fictive
216,1,5.630630630630631E-4,fictive
4084,1,5.630630630630631E-4,fictive
1,776,0.6626814688300597,real
2,112,0.09564474807856532,real
9218,1,8.539709649871904E-4,real
3,64,0.05465414175918019,real
4,28,0.02391118701964133,real
5,17,0.014517506404782237,real
6,21,0.017933390264730998,real
262,1,8.539709649871904E-4,real
7,5,0.004269854824935952,real
8,8,0.006831767719897523,real
9,10,0.008539709649871904,real
10,7,0.005977796754910333,real
11,3,0.0025619128949615714,real
12,3,0.0025619128949615714,real
13,1,8.539709649871904E-4,real
14,1,8.539709649871904E-4,real
15,2,0.0017079419299743809,real
16,6,0.005123825789923143,real
17,3,0.0025619128949615714,real
18,4,0.0034158838599487617,real
19,2,0.0017079419299743809,real
20,1,8.539709649871904E-4,real
21,4,0.0034158838599487617,real
1301,1,8.539709649871904E-4,real
22,3,0.0025619128949615714,real
3096,1,8.539709649871904E-4,real
25,2,0.0017079419299743809,real
26,5,0.004269854824935952,real
27,2,0.0017079419299743809,real
28,3,0.0025619128949615714,real
1052,1,8.539709649871904E-4,real
30,1,8.539709649871904E-4,real
32,1,8.539709649871904E-4,real
33,1,8.539709649871904E-4,real
36,1,8.539709649871904E-4,real
37,1,8.539709649871904E-4,real
40,1,8.539709649871904E-4,real
554,1,8.539709649871904E-4,real
13610,1,8.539709649871904E-4,real
45,1,8.539709649871904E-4,real
46,1,8.539709649871904E-4,real
47,1,8.539709649871904E-4,real
48,1,8.539709649871904E-4,real
51,1,8.539709649871904E-4,real
53,1,8.539709649871904E-4,real
1845,1,8.539709649871904E-4,real
37173,1,8.539709649871904E-4,real
59,2,0.0017079419299743809,real
62,2,0.0017079419299743809,real
63,1,8.539709649871904E-4,real
14913,1,8.539709649871904E-4,real
67,1,8.539709649871904E-4,real
71,2,0.0017079419299743809,real
72,1,8.539709649871904E-4,real
3401,1,8.539709649871904E-4,real
587,1,8.539709649871904E-4,real
75,1,8.539709649871904E-4,real
76,1,8.539709649871904E-4,real
848,1,8.539709649871904E-4,real
339,1,8.539709649871904E-4,real
1107,1,8.539709649871904E-4,real
4692,1,8.539709649871904E-4,real
