k,nbk,pk,type
1,6651,0.5010924433059595,fictive
2,2285,0.17215399683568147,fictive
3,1073,0.08084080464100053,fictive
2051,1,7.534091765237701E-5,fictive
4,644,0.04851955096813079,fictive
5,453,0.03412943569652678,fictive
517,1,7.534091765237701E-5,fictive
6,328,0.02471182098997966,fictive
7,245,0.018458524824832366,fictive
8,193,0.014540797106908762,fictive
9,149,0.011225796730204175,fictive
10,100,0.0075340917652377,fictive
11,104,0.007835455435847209,fictive
12,81,0.006102614329842537,fictive
13,66,0.004972500565056883,fictive
14,63,0.004746477812099751,fictive
15,42,0.0031643185413998344,fictive
16,47,0.003541023129661719,fictive
17,50,0.00376704588261885,fictive
18,32,0.0024109093648760644,fictive
18450,1,7.534091765237701E-5,fictive
19,34,0.0025615912001808183,fictive
20,29,0.002184886611918933,fictive
21,16,0.0012054546824380322,fictive
533,1,7.534091765237701E-5,fictive
22,24,0.001808182023657048,fictive
23,24,0.001808182023657048,fictive
1047,1,7.534091765237701E-5,fictive
24,24,0.001808182023657048,fictive
25,16,0.0012054546824380322,fictive
1049,1,7.534091765237701E-5,fictive
26,26,0.0019588638589618022,fictive
27,19,0.001431477435395163,fictive
28,12,9.04091011828524E-4,fictive
29,24,0.001808182023657048,fictive
30,13,9.794319294809011E-4,fictive
31,19,0.001431477435395163,fictive
32,10,7.5340917652377E-4,fictive
33,7,5.27386423566639E-4,fictive
34,9,6.780682588713931E-4,fictive
35,9,6.780682588713931E-4,fictive
36,5,3.76704588261885E-4,fictive
37,10,7.5340917652377E-4,fictive
38,5,3.76704588261885E-4,fictive
39,12,9.04091011828524E-4,fictive
40,5,3.76704588261885E-4,fictive
41,6,4.52045505914262E-4,fictive
42,3,2.26022752957131E-4,fictive
43,5,3.76704588261885E-4,fictive
44,4,3.0136367060950805E-4,fictive
45,5,3.76704588261885E-4,fictive
46,4,3.0136367060950805E-4,fictive
47,5,3.76704588261885E-4,fictive
48,5,3.76704588261885E-4,fictive
49,5,3.76704588261885E-4,fictive
50,5,3.76704588261885E-4,fictive
51,1,7.534091765237701E-5,fictive
52,3,2.26022752957131E-4,fictive
53,4,3.0136367060950805E-4,fictive
54,5,3.76704588261885E-4,fictive
55,4,3.0136367060950805E-4,fictive
56,4,3.0136367060950805E-4,fictive
57,4,3.0136367060950805E-4,fictive
58,5,3.76704588261885E-4,fictive
3130,1,7.534091765237701E-5,fictive
59,1,7.534091765237701E-5,fictive
60,1,7.534091765237701E-5,fictive
61,4,3.0136367060950805E-4,fictive
62,2,1.5068183530475403E-4,fictive
63,2,1.5068183530475403E-4,fictive
11328,1,7.534091765237701E-5,fictive
64,1,7.534091765237701E-5,fictive
65,5,3.76704588261885E-4,fictive
66,2,1.5068183530475403E-4,fictive
67,2,1.5068183530475403E-4,fictive
68,1,7.534091765237701E-5,fictive
69,4,3.0136367060950805E-4,fictive
70,2,1.5068183530475403E-4,fictive
583,1,7.534091765237701E-5,fictive
71,2,1.5068183530475403E-4,fictive
72,2,1.5068183530475403E-4,fictive
73,2,1.5068183530475403E-4,fictive
19529,1,7.534091765237701E-5,fictive
74,1,7.534091765237701E-5,fictive
75,3,2.26022752957131E-4,fictive
76,3,2.26022752957131E-4,fictive
77,1,7.534091765237701E-5,fictive
78,3,2.26022752957131E-4,fictive
79,3,2.26022752957131E-4,fictive
80,1,7.534091765237701E-5,fictive
81,4,3.0136367060950805E-4,fictive
82,3,2.26022752957131E-4,fictive
1106,1,7.534091765237701E-5,fictive
84,2,1.5068183530475403E-4,fictive
85,3,2.26022752957131E-4,fictive
86,3,2.26022752957131E-4,fictive
88,4,3.0136367060950805E-4,fictive
20057,1,7.534091765237701E-5,fictive
90,2,1.5068183530475403E-4,fictive
91,2,1.5068183530475403E-4,fictive
92,3,2.26022752957131E-4,fictive
93,3,2.26022752957131E-4,fictive
94,2,1.5068183530475403E-4,fictive
96,1,7.534091765237701E-5,fictive
98,2,1.5068183530475403E-4,fictive
100,1,7.534091765237701E-5,fictive
101,2,1.5068183530475403E-4,fictive
102,3,2.26022752957131E-4,fictive
103,1,7.534091765237701E-5,fictive
104,1,7.534091765237701E-5,fictive
14441,1,7.534091765237701E-5,fictive
106,2,1.5068183530475403E-4,fictive
107,3,2.26022752957131E-4,fictive
1132,1,7.534091765237701E-5,fictive
111,3,2.26022752957131E-4,fictive
112,2,1.5068183530475403E-4,fictive
113,1,7.534091765237701E-5,fictive
114,1,7.534091765237701E-5,fictive
115,1,7.534091765237701E-5,fictive
117,2,1.5068183530475403E-4,fictive
118,1,7.534091765237701E-5,fictive
119,1,7.534091765237701E-5,fictive
631,1,7.534091765237701E-5,fictive
6776,1,7.534091765237701E-5,fictive
121,1,7.534091765237701E-5,fictive
633,1,7.534091765237701E-5,fictive
123,1,7.534091765237701E-5,fictive
124,2,1.5068183530475403E-4,fictive
128,2,1.5068183530475403E-4,fictive
641,1,7.534091765237701E-5,fictive
130,1,7.534091765237701E-5,fictive
133,1,7.534091765237701E-5,fictive
134,2,1.5068183530475403E-4,fictive
137,1,7.534091765237701E-5,fictive
143,2,1.5068183530475403E-4,fictive
144,3,2.26022752957131E-4,fictive
145,2,1.5068183530475403E-4,fictive
146,2,1.5068183530475403E-4,fictive
2709,1,7.534091765237701E-5,fictive
149,1,7.534091765237701E-5,fictive
150,2,1.5068183530475403E-4,fictive
151,1,7.534091765237701E-5,fictive
665,1,7.534091765237701E-5,fictive
155,1,7.534091765237701E-5,fictive
158,1,7.534091765237701E-5,fictive
159,1,7.534091765237701E-5,fictive
7328,1,7.534091765237701E-5,fictive
161,1,7.534091765237701E-5,fictive
163,1,7.534091765237701E-5,fictive
164,1,7.534091765237701E-5,fictive
166,2,1.5068183530475403E-4,fictive
170,1,7.534091765237701E-5,fictive
