k,nbk,pk,type
1,1855,0.5010804970286332,fictive
513,1,2.701242571582928E-4,fictive
769,1,2.701242571582928E-4,fictive
2,652,0.17612101566720692,fictive
3,297,0.08022690437601297,fictive
4,172,0.046461372231226365,fictive
5,112,0.030253916801728797,fictive
6,87,0.023500810372771474,fictive
7,63,0.017017828200972446,fictive
8,53,0.01431658562938952,fictive
520,1,2.701242571582928E-4,fictive
9,46,0.01242571582928147,fictive
265,1,2.701242571582928E-4,fictive
10,23,0.006212857914640735,fictive
11,29,0.007833603457590491,fictive
12,20,0.005402485143165856,fictive
13,16,0.004321988114532685,fictive
14,18,0.004862236628849271,fictive
15,10,0.002701242571582928,fictive
16,14,0.0037817396002160996,fictive
17,12,0.0032414910858995136,fictive
18,4,0.0010804970286331713,fictive
19,18,0.004862236628849271,fictive
20,12,0.0032414910858995136,fictive
276,1,2.701242571582928E-4,fictive
21,11,0.002971366828741221,fictive
22,10,0.002701242571582928,fictive
11542,1,2.701242571582928E-4,fictive
279,1,2.701242571582928E-4,fictive
23,3,8.103727714748784E-4,fictive
24,6,0.0016207455429497568,fictive
25,4,0.0010804970286331713,fictive
26,4,0.0010804970286331713,fictive
27,7,0.0018908698001080498,fictive
28,4,0.0010804970286331713,fictive
18974,1,2.701242571582928E-4,fictive
30,2,5.402485143165856E-4,fictive
31,2,5.402485143165856E-4,fictive
32,6,0.0016207455429497568,fictive
801,1,2.701242571582928E-4,fictive
33,1,2.701242571582928E-4,fictive
34,2,5.402485143165856E-4,fictive
35,1,2.701242571582928E-4,fictive
18979,1,2.701242571582928E-4,fictive
38,1,2.701242571582928E-4,fictive
39,2,5.402485143165856E-4,fictive
40,3,8.103727714748784E-4,fictive
41,2,5.402485143165856E-4,fictive
45,3,8.103727714748784E-4,fictive
46,2,5.402485143165856E-4,fictive
47,1,2.701242571582928E-4,fictive
48,2,5.402485143165856E-4,fictive
49,3,8.103727714748784E-4,fictive
50,2,5.402485143165856E-4,fictive
51,4,0.0010804970286331713,fictive
52,1,2.701242571582928E-4,fictive
53,2,5.402485143165856E-4,fictive
55,2,5.402485143165856E-4,fictive
56,2,5.402485143165856E-4,fictive
57,2,5.402485143165856E-4,fictive
58,1,2.701242571582928E-4,fictive
5434,1,2.701242571582928E-4,fictive
59,2,5.402485143165856E-4,fictive
1084,1,2.701242571582928E-4,fictive
60,1,2.701242571582928E-4,fictive
61,1,2.701242571582928E-4,fictive
62,2,5.402485143165856E-4,fictive
63,2,5.402485143165856E-4,fictive
65,1,2.701242571582928E-4,fictive
66,1,2.701242571582928E-4,fictive
69,1,2.701242571582928E-4,fictive
70,1,2.701242571582928E-4,fictive
71,1,2.701242571582928E-4,fictive
72,1,2.701242571582928E-4,fictive
73,1,2.701242571582928E-4,fictive
3401,1,2.701242571582928E-4,fictive
76,1,2.701242571582928E-4,fictive
77,1,2.701242571582928E-4,fictive
79,1,2.701242571582928E-4,fictive
84,1,2.701242571582928E-4,fictive
342,1,2.701242571582928E-4,fictive
87,2,5.402485143165856E-4,fictive
90,1,2.701242571582928E-4,fictive
91,1,2.701242571582928E-4,fictive
96,1,2.701242571582928E-4,fictive
97,1,2.701242571582928E-4,fictive
101,1,2.701242571582928E-4,fictive
103,1,2.701242571582928E-4,fictive
104,1,2.701242571582928E-4,fictive
107,1,2.701242571582928E-4,fictive
45167,1,2.701242571582928E-4,fictive
2162,1,2.701242571582928E-4,fictive
115,1,2.701242571582928E-4,fictive
11379,1,2.701242571582928E-4,fictive
890,1,2.701242571582928E-4,fictive
637,1,2.701242571582928E-4,fictive
128,1,2.701242571582928E-4,fictive
130,1,2.701242571582928E-4,fictive
131,1,2.701242571582928E-4,fictive
388,1,2.701242571582928E-4,fictive
141,2,5.402485143165856E-4,fictive
143,1,2.701242571582928E-4,fictive
144,1,2.701242571582928E-4,fictive
145,1,2.701242571582928E-4,fictive
5267,1,2.701242571582928E-4,fictive
148,1,2.701242571582928E-4,fictive
